Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25
153,06;0,999193548;1;;;;;;;;;;153,011;1,000687758;1,001385042
153,58;0,999193548;1;;;;;;;;;;153,517;1,000687758;1,000692521
154,09;0,999193548;1;;;;;;;;;;154,028;1,000687758;1,000692521
154,61;0,999193548;1;;;;;;;;;;154,541;1,000687758;1,000692521
155,12;0,999193548;1;;;;;;;;;;155,045;1,000687758;1,000692521
155,63;0,999193548;1;;;;;;;;;;155,565;1,000687758;1,000692521
156,14;0,999193548;1;;;;;;;;;;156,076;1,000687758;1,000692521
156,66;0,999193548;1;;;;;;;;;;156,584;1,000687758;1,000692521
157,17;1;1;;;;;;;;;;157,092;1,000687758;1,000692521
157,68;0,999193548;1;;;;;;;;;;157,599;1,000687758;1,000692521
158,2;1;1;;;;;;;;;;158,112;1,000687758;1,000692521
158,72;1;1;;;;;;;;;;158,625;1,000687758;1,000692521
159,23;1;1;;;;;;;;;;159,14;1,000687758;1,000692521
159,75;1;1;;;;;;;;;;159,658;1,000687758;1,000692521
160,26;1;1;;;;;;;;;;160,165;1,000687758;1,000692521
160,77;1;1;;;;;;;;;;160,683;1,000687758;1,000692521
161,29;1;1;;;;;;;;;;161,19;1,000687758;1,000692521
161,8;1;1;;;;;;;;;;161,692;1;1,001385042
162,32;1;1;;;;;;;;;;162,208;1;1,001385042
163,33;1;1;;;;;;;;;;162,722;1;1,001385042
163,84;0,999193548;1;;;;;;;;;;163,229;1;1,001385042
164,35;1;1;;;;;;;;;;163,741;1,000687758;1,000692521
164,85;1;1;;;;;;;;;;164,259;1,000687758;1,001385042
165,36;1;1;;;;;;;;;;164,77;1,000687758;1,001385042
165,87;1;1;;;;;;;;;;165,28;1;1,001385042
166,38;1;1;;;;;;;;;;165,787;1;1,001385042
166,89;1;1;;;;;;;;;;166,297;1,000687758;1,001385042
167,4;1;1;;;;;;;;;;166,813;1,000687758;1,001385042
167,91;1;1;;;;;;;;;;167,324;1,000687758;1,001385042
168,42;1;1;;;;;;;;;;167,829;1,000687758;1,000692521
168,93;1;1;;;;;;;;;;168,356;1,000687758;1,000692521
169,44;1;1;;;;;;;;;;168,865;1,000687758;1,000692521
169,95;1;1;;;;;;;;;;169,375;1,000687758;1,000692521
170,47;1;1;;;;;;;;;;169,883;1,000687758;1
170,98;1;1;;;;;;;;;;170,401;1,000687758;1
171,5;1;1;;;;;;;;;;170,906;1,000687758;1
172,02;1;1;;;;;;;;;;171,416;1;1
;;;;;;;;;;;;171,934;1;1
;;;;;;;;;;;;172,436;1;1
;;;;;;;;;;;;172,945;1;1
;;;;;;;;;;;;173,459;1;1,000692521
;;;;;;;;;;;;173,977;1;1,000692521
;;;;;;;;;;;;174,492;1;1
;;;;;;;;;;;;174,999;1;1
;;;;;;;;;;;;175,507;1;1,000692521
;;;;;;;;;;;;176,022;1;1,000692521
;;;;;;;;;;;;176,534;0,999312242;1,000692521
;;;;;;;;;;;;177,041;1;1,000692521
;;;;;;;;;;;;177,549;0,999312242;1,000692521
;;;;;;;;;;;;178,056;1;1,000692521
;;;;;;;;;;;;178,567;1;1,000692521
;;;;;;;;;;;;179,076;1;1,000692521
;;;;;;;;;;;;179,585;1;1,000692521
;;;;;;;;;;;;180,096;1;1,000692521
;;;;;;;;;;;;180,606;1;1,000692521
;;;;;;;;;;;;181,116;1,000687758;1,000692521
;;;;;;;;;;;;181,621;1,000687758;1,000692521
;;;;;;;;;;;;182,131;1,000687758;1,000692521
;;;;;;;;;;;;182,639;1,000687758;1,000692521
;;;;;;;;;;;;183,148;1,000687758;1
;;;;;;;;;;;;183,657;1,000687758;1
;;;;;;;;;;;;184,166;1,000687758;1
;;;;;;;;;;;;184,677;1,000687758;1
;;;;;;;;;;;;185,186;1,000687758;1
;;;;;;;;;;;;185,697;1,000687758;1
;;;;;;;;;;;;186,206;1,000687758;1
;;;;;;;;;;;;186,713;1;1
;;;;;;;;;;;;187,227;1;1
;;;;;;;;;;;;187,737;1;1
;;;;;;;;;;;;188,251;0,999312242;1
;;;;;;;;;;;;188,768;0,999312242;1
;;;;;;;;;;;;189,277;1;0,999307479
;;;;;;;;;;;;189,785;1;0,999307479
;;;;;;;;;;;;190,306;1;0,999307479
;;;;;;;;;;;;190,814;0,999312242;0,999307479
;;;;;;;;;;;;191,323;0,999312242;1
;;;;;;;;;;;;191,839;0,999312242;1
;;;;;;;;;;;;192,356;0,999312242;1
;;;;;;;;;;;;192,88;0,999312242;1
;;;;;;;;;;;;193,39;0,999312242;1
;;;;;;;;;;;;193,899;0,999312242;1
;;;;;;;;;;;;194,415;0,998624484;1
;;;;;;;;;;;;194,928;0,999312242;1
;;;;;;;;;;;;195,44;0,999312242;1
;;;;;;;;;;;;195,949;0,999312242;1
;;;;;;;;;;;;196,465;0,999312242;1
;;;;;;;;;;;;196,984;0,999312242;1
;;;;;;;;;;;;197,495;0,999312242;1
;;;;;;;;;;;;198,007;1;1
