Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
14,367;0,843373494;0,75;14,302;0,849303849;0,767960363;14,425;1,156082632;1,085073473;14,33;0,977980258;0,944912012;14,358;1,023904382;1,191813804;14,07;0,91283293;0,97593361
14,882;0,832742736;0,744269341;14,81;1,32022932;0,829892651;14,939;1,21117062;1,094354215;14,85;0,977980258;0,91048202;14,872;1,152191235;1,1894061;14,572;0,681194512;0,826556017
15,4;0,838412473;0,770057307;15,317;1,161343161;0,942196532;15,456;0,87834736;1,123743233;15,38;0,953682612;0,900535578;15,377;1,117131474;1,158908507;15,073;0,739305892;0,863900415
15,904;0,833451453;0,83739255;15,831;0,806715807;0,876961189;15,965;1,265493497;1,108275329;15,89;1,020501139;1,011476664;15,887;1,169721116;1,125200642;15,575;0,736884584;0,869709544
16,412;1,013465627;0,856017192;16,349;0,796887797;0,818331957;16,482;1,302983933;1,128383604;16,4;1,123006834;1,017597552;16,394;1,139442231;1,025682183;16,077;0,642453592;0,889626556
16,921;1,052445074;0,835959885;16,853;0,837018837;0,793559042;16,99;1,20351951;1,066511988;16,91;1,104024298;0,990818669;16,904;1,019920319;1,040930979;16,578;0,828087167;0,950207469
17,43;0,953933381;0,916189112;17,382;0,909090909;0,908340215;17,506;1,088752869;1,070378964;17,41;1,126044039;0,996939556;17,418;0,917131474;1,044141252;17,08;0,86117837;0,960995851
17,936;1,262934089;0,931948424;17,885;1,131040131;0,881915772;18,032;0,998469778;1,006187162;17,93;1,028094153;1,006885998;17,931;1,01752988;0,901284109;17,581;0,907990315;0,972614108
18,46;1,177179305;0,920487106;18,394;1,002457002;0,945499587;18,538;0,969395562;0,96287703;18,43;0,987091875;0,969395562;18,437;0,857370518;0,935794543;18,083;0,905569007;0,960995851
18,976;1,300496102;0,866045845;18,906;0,873054873;0,924029727;19,056;1,000765111;1,003866976;18,94;1,07365224;1,075745983;18,96;0,990438247;0,974317817;18,584;0,930589185;0,98340249
19,495;1,168674699;0,865329513;19,417;0,865683866;1,047068538;19,573;0,949502678;0,958236659;19,45;1,189066059;0,960979342;19,479;1,022310757;1,009630819;19,086;0,900726392;0,960165975
20,011;1,192771084;0,965616046;19,92;0,912366912;0,924029727;20,09;0,842387146;0,990719258;19,97;1,01063022;0,949502678;20,002;0,966533865;1,02247191;19,587;0,852300242;0,96846473
20,517;1,130403969;0,918338109;20,436;0,961506962;0,988439306;20,609;0,800306044;1,002320186;20,48;0,968109339;0,925019128;20,518;1,011952191;1,007223114;20,089;0,97094431;0,974273859
21,026;1,105598866;0,919770774;20,937;0,924651925;1,024772915;21,122;0,836266259;1,035576179;20,99;0,955960516;1,013006886;21,048;1,050199203;1,004815409;20,591;0,917675545;0,978423237
21,536;1,055279943;0,941260745;21,466;0,85995086;0,955408753;21,637;0,882938026;1,023201856;21,51;0,958238421;0,99158378;21,552;1,057370518;0,970304976;21,093;0,917675545;0,990041494
22,048;1,065201984;0,971346705;21,986;0,865683866;0,969446738;22,154;0,963274675;1,044856922;22,02;0,963553531;0,958684009;22,067;1,042231076;1,01364366;21,594;0,89346247;0,985062241
22,552;1,054571226;0,932664756;22,504;0,900900901;0,914946325;22,679;1,030604438;1,030935808;22,53;1,033409263;0,957153787;22,585;1,027091633;1,02247191;22,096;0,871670702;0,980082988
23,077;0,971651311;0,941977077;23,015;0,932022932;0,923203964;23,187;1,021423106;1,017014695;23,05;1,000759301;0,972456006;23,09;1,022310757;1;22,598;0,899112187;0,985892116
23,591;0,982990787;0,967765043;23,52;0,947583948;0,93971924;23,715;1,015302219;0,996906419;23,56;0,987091875;0,985462892;23,607;1,011155378;0,984751204;23,1;0,89669088;0,973443983
24,095;1,043940468;0,98495702;24,024;0,91973792;0,926507019;24,238;1,01606733;1,005413766;24,07;0,977980258;0,980872226;24,13;0,972111554;1,001605136;23,601;0,921711057;0,985062241
24,603;1,003543586;0,975644699;24,535;0,883701884;0,937241949;24,748;1,000765111;1,005413766;24,57;0,971905847;1,013006886;24,638;0,988844622;1,007223114;24,103;0,931396287;0,980912863
25,113;0,963146704;0,970630372;25,051;0,926289926;0,965317919;25,263;1,010711553;0,986852282;25,09;1,003796507;1,013771997;25,149;1,001593625;1,007223114;24,605;0,889426957;0,97593361
25,619;1,021261517;0,967765043;25,576;0,938574939;0,970272502;25,769;1,018362663;0,987625677;25,6;1,055429005;1,011476664;25,659;1,012749004;1,000802568;25,106;0,891848265;0,961825726
26,147;0,976612332;0,983524355;26,093;0,949221949;0,966969447;26,277;1,005355777;0,993039443;26,11;1,071374336;0,992348891;26,178;1,009561753;1,001605136;25,608;0,888619855;0,972614108
26,651;0,944720057;0,972063037;26,597;0,945945946;0,993393889;26,785;1,010711553;0,999226605;26,62;1,044798785;1,011476664;26,697;0,996812749;1,004012841;26,11;0,898305085;0,971784232
27,165;0,944720057;0,974212034;27,115;0,993447993;1,002477291;27,289;1,025248661;1,00154679;27,13;1,048595292;0,988523336;27,207;1,001593625;1,00882825;26,611;0,947538337;0,981742739
27,667;0,946846208;0,978510029;27,633;0,966420966;0,995045417;27,796;1,023718439;1,007733952;27,64;1,033409263;0,98393267;27,716;1,004780876;1,00882825;27,113;0,97094431;0,987551867
28,184;0,945428774;0,989971347;28,143;1,009009009;0,985136251;28,306;1,019127774;1,012374323;28,15;1,02657555;0,99158378;28,216;1,011952191;1,006420546;27,615;0,986279257;0,99253112
