Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
;;;;;;;;;138,42;1;1;138,8;1;1;;;
;;;;;;;;;138,93;1;1;139,3;1;1;;;
;;;;;;;;;139,45;1;1;139,82;1;1;;;
;;;;;;;;;139,95;1;1;140,33;1;1;;;
;;;;;;;;;140,46;1;1;140,84;1;1;;;
;;;;;;;;;140,99;1;1;141,35;1;1;;;
;;;;;;;;;141,5;1;1;141,86;1;1;;;
;;;;;;;;;142,01;1;1;142,37;1;1;;;
;;;;;;;;;142,53;1;1;142,87;1;1;;;
;;;;;;;;;143,55;1;1;143,39;1;1;;;
;;;;;;;;;144,06;1;1;143,91;1;1;;;
;;;;;;;;;144,57;1;1;144,42;1;1;;;
;;;;;;;;;145,09;1;1;144,93;1;1;;;
;;;;;;;;;145,6;1;1;145,44;1;1;;;
;;;;;;;;;146,11;1;1;145,95;1;1;;;
;;;;;;;;;146,61;1;1;146,47;1;1;;;
;;;;;;;;;147,12;1;1;146,97;1;1;;;
;;;;;;;;;147,63;1;1;147,49;1;1;;;
;;;;;;;;;148,15;1;1;147,99;1;1;;;
;;;;;;;;;148,66;1;1;148,51;1;1;;;
;;;;;;;;;149,17;1;1;149,02;1;1;;;
;;;;;;;;;149,68;1;1;149,53;1;1;;;
;;;;;;;;;150,19;1;0,999217527;150,04;1;1;;;
;;;;;;;;;150,72;1;0,999217527;150,55;1;1;;;
;;;;;;;;;151,25;0,999219969;1;151,06;1;1;;;
;;;;;;;;;151,76;0,999219969;1;151,57;1;1;;;
;;;;;;;;;152,27;0,999219969;1;152,09;1;1;;;
;;;;;;;;;152,8;0,999219969;1;152,61;1;1;;;
;;;;;;;;;153,31;0,999219969;1;153,12;1;1;;;
;;;;;;;;;153,81;0,999219969;1;153,62;1;1;;;
;;;;;;;;;154,33;0,999219969;1;154,14;1;1;;;
;;;;;;;;;154,83;0,999219969;1;154,65;1;1;;;
;;;;;;;;;155,34;0,999219969;1;;;;;;
;;;;;;;;;155,87;0,999219969;1;;;;;;
;;;;;;;;;156,38;0,999219969;1;;;;;;
;;;;;;;;;156,89;0,999219969;1;;;;;;
;;;;;;;;;157,41;0,999219969;1;;;;;;
;;;;;;;;;157,93;0,999219969;1,000782473;;;;;;
;;;;;;;;;158,44;0,999219969;1,000782473;;;;;;
;;;;;;;;;158,96;0,999219969;1,000782473;;;;;;
;;;;;;;;;159,48;0,999219969;1,000782473;;;;;;
;;;;;;;;;159,99;0,999219969;1,000782473;;;;;;
;;;;;;;;;160,51;0,999219969;1,000782473;;;;;;
;;;;;;;;;161,02;0,999219969;1,000782473;;;;;;
;;;;;;;;;161,53;0,999219969;1,000782473;;;;;;
;;;;;;;;;162,05;1;1,000782473;;;;;;
;;;;;;;;;162,55;1;1,000782473;;;;;;
;;;;;;;;;163,06;0,999219969;1,000782473;;;;;;
;;;;;;;;;163,57;1;1,000782473;;;;;;
;;;;;;;;;164,08;1;1,000782473;;;;;;
;;;;;;;;;164,59;1;1,000782473;;;;;;
;;;;;;;;;165,1;1;1,000782473;;;;;;
;;;;;;;;;165,62;1;1,000782473;;;;;;
;;;;;;;;;166,14;1;1,000782473;;;;;;
;;;;;;;;;166,65;1;1,000782473;;;;;;
;;;;;;;;;167,15;1;1,000782473;;;;;;
;;;;;;;;;167,67;1;1,000782473;;;;;;
;;;;;;;;;168,18;1;1,000782473;;;;;;
;;;;;;;;;168,69;1;1,000782473;;;;;;
;;;;;;;;;169,2;1;1,000782473;;;;;;
;;;;;;;;;169,72;1;1,000782473;;;;;;
;;;;;;;;;170,23;1;1,000782473;;;;;;
;;;;;;;;;170,74;1;1,000782473;;;;;;
;;;;;;;;;171,26;1;1,000782473;;;;;;
;;;;;;;;;171,76;1;1,000782473;;;;;;
;;;;;;;;;172,28;1;1,000782473;;;;;;
;;;;;;;;;172,79;1;1,000782473;;;;;;
;;;;;;;;;173,3;1;1,000782473;;;;;;
;;;;;;;;;173,81;1;1,000782473;;;;;;
;;;;;;;;;174,32;1,000780031;1;;;;;;
;;;;;;;;;174,85;1;1;;;;;;
;;;;;;;;;175,36;1;1;;;;;;
;;;;;;;;;175,87;1;1;;;;;;
;;;;;;;;;176,38;1;1;;;;;;
;;;;;;;;;176,89;1,000780031;1;;;;;;
;;;;;;;;;177,4;1;1;;;;;;
;;;;;;;;;177,92;1;1;;;;;;
;;;;;;;;;178,44;1;1;;;;;;
;;;;;;;;;178,95;1;1;;;;;;
;;;;;;;;;179,48;1;1;;;;;;
;;;;;;;;;179,99;1;1;;;;;;
;;;;;;;;;180,5;1;1;;;;;;
;;;;;;;;;181,01;1;1;;;;;;
;;;;;;;;;181,52;1;1;;;;;;
;;;;;;;;;182,04;1;1;;;;;;
;;;;;;;;;182,55;1;1;;;;;;
;;;;;;;;;183,06;1;1;;;;;;
;;;;;;;;;183,57;1;1;;;;;;
